SURVYEAR	FIPST	LEAID	TOTD912	EBS912	DRP912	TOTDPL	AFGEB	AFGR	TOTOHC
2009-10	42	4200781	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200782	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200783	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200784	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200785	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200786	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200787	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200788	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200789	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200790	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200791	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200792	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200793	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200794	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200795	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200796	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200797	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200798	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200799	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200800	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200801	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200802	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200803	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200804	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200805	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200806	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200807	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200808	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200809	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200810	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200811	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200812	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200813	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200814	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200815	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200816	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200817	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200818	-2	-2	-2.0	-1	-2	-1.0	-2
2009-10	42	4200819	-2	-2	-2.0	-1	-2	-1.0	-2
2009-10	42	4200820	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200821	-2	-2	-2.0	-1	-2	-1.0	-2
2009-10	42	4200822	-3	60	-3.0	-1	-2	-1.0	-2
2009-10	42	4200823	-4	-2	-4.0	9	-2	-2.0	-2
2009-10	42	4200824	-1	826	-1.0	138	-2	-2.0	-2
2009-10	42	4200825	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200826	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4202010	-3	1188	-3.0	269	288	93.4	-2
2009-10	42	4202040	-3	2527	-3.0	612	647	94.6	-2
2009-10	42	4202100	58	1166	5.0	273	333	82.0	-2
2009-10	42	4202130	-3	334	-3.0	65	84	77.4	-2
2009-10	42	4202190	-3	402	-3.0	103	112	92.0	-2
2009-10	42	4202280	362	4858	7.5	1007	1543	65.3	-2
2009-10	42	4202310	-3	334	-3.0	89	98	90.8	-2
2009-10	42	4202340	-3	2432	-3.0	528	689	76.6	-2
2009-10	42	4202400	-3	1479	-3.0	352	384	91.7	-2
2009-10	42	4202440	-3	852	-3.0	211	262	80.5	-2
2009-10	42	4202480	-3	318	-3.0	90	107	84.1	-2
2009-10	42	4202490	-3	540	-3.0	137	143	95.8	-2
2009-10	42	4202550	-3	448	-3.0	109	143	76.2	-2
2009-10	42	4202590	-3	1628	-3.0	282	491	57.4	-2
2009-10	42	4202600	-2	-2	-2.0	201	-2	-2.0	-2
2009-10	42	4202670	-3	724	-3.0	209	236	88.6	-2
2009-10	42	4202700	-3	70	-3.0	15	18	83.3	-2
2009-10	42	4202760	-3	200	-3.0	51	59	86.4	-2
2009-10	42	4202790	-3	1815	-3.0	418	466	89.7	-2
2009-10	42	4202820	-3	394	-3.0	91	93	97.8	-2
2009-10	42	4202850	-3	1463	-3.0	333	334	99.7	-2
2009-10	42	4202900	-3	564	-3.0	165	-2	-2.0	-2
2009-10	42	4202910	-3	633	-3.0	165	175	94.3	-2
2009-10	42	4202970	-3	1482	-3.0	351	374	93.9	-2
2009-10	42	4203000	-3	1126	-3.0	280	315	88.9	-2
2009-10	42	4203120	-1	665	-1.0	152	156	97.4	-2
2009-10	42	4203180	-3	733	-3.0	186	201	92.5	-2
2009-10	42	4203210	-3	915	-3.0	237	266	89.1	-2
2009-10	42	4203240	-3	997	-3.0	242	270	89.6	-2
2009-10	42	4203300	-3	434	-3.0	112	112	100.0	-2
2009-10	42	4203330	-3	1942	-3.0	450	489	92.0	-2
2009-10	42	4203360	-3	372	-3.0	77	90	85.6	-2
2009-10	42	4203390	-3	216	-3.0	59	63	93.7	-2
2009-10	42	4203420	-3	281	-3.0	72	76	94.7	-2
2009-10	42	4203450	-3	643	-3.0	152	173	87.9	-2
2009-10	42	4203480	-3	970	-3.0	232	286	81.1	-2
2009-10	42	4203510	-3	1744	-3.0	454	455	99.8	-2
2009-10	42	4203570	-3	4998	-3.0	1181	1367	86.4	-2
2009-10	42	4203600	-3	407	-3.0	103	119	86.6	-2
2009-10	42	4203630	-3	562	-3.0	112	153	73.2	-2
2009-10	42	4203660	-3	989	-3.0	235	274	85.8	-2
2009-10	42	4203688	-3	856	-3.0	210	236	89.0	-2
2009-10	42	4203690	-3	226	-3.0	63	66	95.5	-2
2009-10	42	4203750	-3	668	-3.0	175	197	88.8	-2
2009-10	42	4203840	-3	484	-3.0	103	134	76.9	-2
2009-10	42	4203870	-3	977	-3.0	218	244	89.3	-2
2009-10	42	4203900	-3	380	-3.0	88	112	78.6	-2
2009-10	42	4203960	-3	2207	-3.0	509	559	91.1	-2
2009-10	42	4204020	-3	941	-3.0	236	279	84.6	-2
2009-10	42	4204050	-3	612	-3.0	135	165	81.8	-2
2009-10	42	4204080	-3	598	-3.0	99	148	66.9	-2
2009-10	42	4204090	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4204140	-3	441	-3.0	112	113	99.1	-2
2009-10	42	4204200	19	350	5.4	73	87	83.9	-2
2009-10	42	4204230	-3	1673	-3.0	321	471	68.2	-2
2009-10	42	4204260	-3	317	-3.0	74	86	86.0	-2
2009-10	42	4204320	-3	484	-3.0	119	146	81.5	-2
2009-10	42	4204500	-3	472	-3.0	98	115	85.2	-2
2009-10	42	4204530	-3	627	-3.0	154	183	84.2	-2
2009-10	42	4204590	-3	2653	-3.0	605	665	91.0	-2
2009-10	42	4204710	-3	318	-3.0	82	91	90.1	-2
2009-10	42	4204740	-3	516	-3.0	123	129	95.3	-2
2009-10	42	4204830	-3	276	-3.0	64	78	82.1	-2
2009-10	42	4204860	-3	367	-3.0	90	89	100.0	-2
2009-10	42	4204890	-3	1484	-3.0	363	388	93.6	-2
2009-10	42	4204920	-3	302	-3.0	78	102	76.5	-2
2009-10	42	4204980	-3	418	-3.0	107	120	89.2	-2
2009-10	42	4205010	-3	1492	-3.0	330	392	84.2	-2
2009-10	42	4205040	-3	420	-3.0	111	124	89.5	-2
2009-10	42	4205070	-3	321	-3.0	67	88	76.1	-2
2009-10	42	4205160	-3	513	-3.0	114	151	75.5	-2
2009-10	42	4205190	-3	1919	-3.0	470	532	88.3	-2
2009-10	42	4205210	-2	-2	-2.0	-2	143	-2.0	-2
2009-10	42	4205310	-3	6505	-3.0	1518	1558	97.4	-2
2009-10	42	4205340	-3	595	-3.0	134	136	98.5	-2
2009-10	42	4205370	-3	624	-3.0	146	168	86.9	-2
2009-10	42	4205400	-3	3344	-3.0	752	861	87.3	-2
2009-10	42	4205430	-3	680	-3.0	160	203	78.8	-2
2009-10	42	4205460	-3	1062	-3.0	262	260	100.0	-2
2009-10	42	4205490	-3	1667	-3.0	393	431	91.2	-2
2009-10	42	4205550	-3	2413	-3.0	626	705	88.8	-2
2009-10	42	4205640	-3	530	-3.0	105	131	80.2	-2
2009-10	42	4205700	-3	1132	-3.0	283	295	95.9	-2
2009-10	42	4205730	-3	370	-3.0	92	95	96.8	-2
2009-10	42	4205760	-3	1458	-3.0	300	362	82.9	-2
2009-10	42	4205860	243	1598	15.2	267	459	58.2	-2
