2010_MEDIAN_HOUSEHOLD_INCOME,COUNTY,STATE
33319,LEE COUNTY,ALABAMA
15278,LEE COUNTY,ALABAMA
17998,LEE COUNTY,ALABAMA
23750,LEE COUNTY,ALABAMA
13125,LEE COUNTY,ALABAMA
57722,LEE COUNTY,ALABAMA
31635,LEE COUNTY,ALABAMA
47292,LEE COUNTY,ALABAMA
43352,LEE COUNTY,ALABAMA
70948,LEE COUNTY,ALABAMA
38750,LEE COUNTY,ALABAMA
21728,LEE COUNTY,ALABAMA
21954,LEE COUNTY,ALABAMA
41744,LEE COUNTY,ALABAMA
46942,LEE COUNTY,ALABAMA
52143,LEE COUNTY,ALABAMA
66487,LEE COUNTY,ALABAMA
57066,LEE COUNTY,ALABAMA
60846,LEE COUNTY,ALABAMA
53462,LEE COUNTY,ALABAMA
40688,LEE COUNTY,ALABAMA
43484,LEE COUNTY,ALABAMA
49102,LEE COUNTY,ALABAMA
49931,LIMESTONE COUNTY,ALABAMA
43714,LIMESTONE COUNTY,ALABAMA
40048,LIMESTONE COUNTY,ALABAMA
45625,LIMESTONE COUNTY,ALABAMA
44850,LIMESTONE COUNTY,ALABAMA
42321,LIMESTONE COUNTY,ALABAMA
43750,LIMESTONE COUNTY,ALABAMA
30759,LIMESTONE COUNTY,ALABAMA
37629,LIMESTONE COUNTY,ALABAMA
39309,LIMESTONE COUNTY,ALABAMA
61019,LIMESTONE COUNTY,ALABAMA
65731,LIMESTONE COUNTY,ALABAMA
49207,LIMESTONE COUNTY,ALABAMA
36250,LIMESTONE COUNTY,ALABAMA
45000,LIMESTONE COUNTY,ALABAMA
